MODEL,EPOCH,TRAINACC,TRAINLOSS,TESTACC,TESTLOSS,TIME,TRAINPRECISION,TRAINRECALL,TRAINF1SCORE,TESTPRECISION,TESTRECALL,TESTF1SCORE,TRAINAUC,TESTAUC
ProposedModel,1,0.548167034,0.005568278,0.588666667,0.005359242,56.88550326,0.559772991,0.525517601,0.542104689,0.570667795,0.719482208,0.636492384,0.548498901,0.588946259
ProposedModel,2,0.611080485,0.005133492,0.656666667,0.004933173,54.37289405,0.626099034,0.574706176,0.599302833,0.633821704,0.743988075,0.68450057,0.61155612,0.65789114
ProposedModel,3,0.636576626,0.004927468,0.665,0.004761803,53.36016503,0.642466758,0.625952739,0.634102247,0.669538656,0.649176762,0.659200508,0.637561403,0.665464841
ProposedModel,4,0.656560088,0.004799892,0.699666667,0.004469142,53.36154836,0.678657933,0.606923029,0.640789091,0.749005849,0.599158216,0.665754295,0.65702099,0.699543236
ProposedModel,5,0.671168688,0.004641506,0.706666667,0.004447983,53.20548644,0.717189728,0.580182085,0.641451629,0.727891151,0.660456,0.692535837,0.672402464,0.706209524
ProposedModel,6,0.682538589,0.004583075,0.723333333,0.004279756,53.10254887,0.737331643,0.582419546,0.650783821,0.735107265,0.69448234,0.714217579,0.683698154,0.723262898
ProposedModel,7,0.699421169,0.004450159,0.731,0.004289238,53.51090952,0.758998427,0.595889222,0.66762581,0.83156452,0.582908423,0.685380326,0.701380776,0.731927391
ProposedModel,8,0.702246417,0.004408185,0.733,0.004147693,52.7427909,0.773548176,0.586968096,0.667464417,0.740049677,0.718121233,0.728920571,0.703551923,0.732818471
ProposedModel,9,0.713616318,0.004295426,0.738666667,0.004079594,53.44569356,0.78480598,0.595767652,0.677344555,0.830831496,0.600207435,0.696935954,0.714622197,0.738320485
ProposedModel,10,0.717957552,0.00423916,0.743333333,0.004029279,53.69109564,0.800219168,0.589408809,0.678823735,0.835704758,0.60988311,0.705155637,0.718689315,0.744409298
ProposedModel,11,0.721816428,0.00422476,0.755333333,0.003946515,52.84051619,0.795345526,0.606064966,0.687922721,0.863656391,0.602208317,0.709616731,0.722974124,0.754242682
ProposedModel,12,0.72994763,0.004170521,0.749333333,0.004024782,53.28499263,0.808829592,0.609214146,0.694972116,0.80364071,0.654292173,0.721316917,0.730552782,0.746502107
ProposedModel,13,0.729051819,0.004133395,0.736333333,0.004130536,53.64390032,0.808082334,0.608642859,0.694324551,0.825753952,0.597435219,0.693280279,0.730384949,0.73430548
ProposedModel,14,0.738285557,0.004042698,0.753666667,0.004032607,52.72730306,0.818325634,0.615984105,0.702882466,0.848156956,0.616582943,0.714064132,0.738651098,0.752484441
ProposedModel,15,0.742557883,0.004008717,0.761666667,0.004060054,53.47639998,0.823155209,0.624861406,0.710430966,0.805123536,0.69251987,0.744588524,0.742766077,0.76215575
ProposedModel,16,0.745865491,0.003981757,0.756,0.00391389,52.673258,0.83138715,0.624083124,0.712971882,0.837761009,0.634214827,0.721914641,0.746420058,0.755751466
ProposedModel,17,0.747863837,0.003938316,0.762666667,0.003916594,53.06682247,0.829404799,0.629797104,0.715948546,0.830982509,0.658320346,0.734642643,0.747817384,0.761974271
ProposedModel,18,0.757028666,0.003889105,0.765,0.003897608,52.86116219,0.836230589,0.646247071,0.72906538,0.84696452,0.644966148,0.732290656,0.758121641,0.764306992
ProposedModel,19,0.758337927,0.003791927,0.768333333,0.00399642,53.34940687,0.837879445,0.647335844,0.730384884,0.874305237,0.623294294,0.727763937,0.759523919,0.766794365
ProposedModel,20,0.765435502,0.003751052,0.765666667,0.003959851,53.15880684,0.843136771,0.656531706,0.738224523,0.831735117,0.649241336,0.7292443,0.766195801,0.761220364
ProposedModel,21,0.773084344,0.003672626,0.755666667,0.003968016,52.59888753,0.847385788,0.671187522,0.749064617,0.786919526,0.698174612,0.7398955,0.77379111,0.753981693
ProposedModel,22,0.767020397,0.003728724,0.766333333,0.003911657,53.83100173,0.84433748,0.661629162,0.741899965,0.868419526,0.6318883,0.731508733,0.768839821,0.767380935
ProposedModel,23,0.773359978,0.003611288,0.765,0.004091685,52.86203902,0.846968106,0.672199391,0.74953084,0.817758589,0.679967165,0.742524441,0.773860393,0.76596668
ProposedModel,24,0.781973539,0.003586356,0.76,0.003983632,52.55925489,0.861137091,0.677287294,0.758226684,0.834267579,0.647528181,0.72913121,0.78292574,0.758430938
ProposedModel,25,0.777563396,0.003606977,0.766,0.004128402,53.03708598,0.857797378,0.670063416,0.752396611,0.863629414,0.618536539,0.720818539,0.778363719,0.761735513
ProposedModel,26,0.785212238,0.003525053,0.768333333,0.00385758,53.01107434,0.860346717,0.686846812,0.763868758,0.867951149,0.63303774,0.732111793,0.786522696,0.768354241
ProposedModel,27,0.788244212,0.003463537,0.768666667,0.004191275,52.99749981,0.862394047,0.689512936,0.766324087,0.810527495,0.701690664,0.752192496,0.788552181,0.768851899
ProposedModel,28,0.797684675,0.003392599,0.765,0.004063225,53.27729581,0.864075643,0.710291471,0.779672738,0.817275007,0.682869731,0.744051357,0.798441139,0.764393873
ProposedModel,29,0.795686329,0.003350285,0.772,0.004337345,52.82389423,0.865763824,0.704815501,0.777042909,0.79667499,0.729261205,0.761478973,0.796159674,0.771514444
ProposedModel,30,0.80016538,0.003360449,0.775333333,0.004369586,53.92045345,0.873601727,0.708947803,0.782709183,0.813737067,0.719812432,0.763898469,0.802328566,0.776729608
ProposedModel,31,0.809192393,0.003240136,0.766333333,0.004192718,53.45247503,0.877136591,0.722679897,0.792452117,0.842447683,0.659881668,0.740071785,0.810038752,0.768573918
