MODEL,EPOCH,TRAINACC,TRAINLOSS,TESTACC,TESTLOSS,TIME,TRAINPRECISION,TRAINRECALL,TRAINF1SCORE,TESTPRECISION,TESTRECALL,TESTF1SCORE
GABORNN,1,0.50518058,0.005443307,0.518333333,0.005536849,1164.491056,0.519374934,0.444912793,0.479268886,0.526800481,0.402950692,0.456626729
GABORNN,2,0.538336294,0.005398537,0.572666667,0.005469741,1095.478688,0.569222817,0.434139072,0.492587706,0.669661436,0.30433939,0.418489076
GABORNN,3,0.562907046,0.005340395,0.620333333,0.005335103,1113.495431,0.590213089,0.486026213,0.533076672,0.638958487,0.546957346,0.589389278
GABORNN,4,0.592436353,0.00523602,0.607333333,0.005215648,1120.446741,0.625729164,0.503537045,0.558022212,0.586084054,0.766375611,0.664212821
GABORNN,5,0.61937537,0.005077396,0.649666667,0.004988445,1113.674487,0.65006266,0.537596202,0.588504373,0.665789847,0.602733952,0.632694706
GABORNN,6,0.630106572,0.004950154,0.683666667,0.004818607,1113.823716,0.666562625,0.543907076,0.599020575,0.745453836,0.556687887,0.637388563
GABORNN,7,0.645426288,0.004847064,0.700333333,0.004547722,1121.463544,0.694084216,0.5300584,0.601082201,0.726148675,0.641628782,0.681277334
GABORNN,8,0.662448194,0.004754273,0.704,0.004549104,1095.178548,0.714939351,0.546556776,0.619510339,0.743277498,0.627989429,0.680787092
GABORNN,9,0.666296625,0.004688001,0.695666667,0.004537261,1106.374343,0.717734583,0.555839142,0.626496868,0.72841972,0.61003571,0.663992287
GABORNN,10,0.676435761,0.00459004,0.713333333,0.004430566,1110.788882,0.728475454,0.569262946,0.639102739,0.792721613,0.576859626,0.667779435
GABORNN,11,0.681542333,0.004551136,0.713333333,0.004394241,1098.481613,0.737060707,0.574825576,0.645911693,0.796466133,0.5723872,0.666085999
GABORNN,12,0.685316755,0.004482314,0.718666667,0.004370454,1102.81678,0.74426306,0.57298516,0.64748873,0.732464089,0.687556695,0.709300306
GABORNN,13,0.69160746,0.004466309,0.725333333,0.004275054,1105.887734,0.743329275,0.58934689,0.657442232,0.774840226,0.631272749,0.695727198
GABORNN,14,0.701302546,0.004399467,0.724333333,0.004369243,1102.798082,0.7638324,0.58856477,0.66484144,0.727344661,0.725741863,0.726542378
GABORNN,15,0.709295441,0.004311442,0.726333333,0.004411633,1105.227791,0.77366696,0.60038447,0.676099333,0.720578767,0.737974128,0.729172715
GABORNN,16,0.714402013,0.004262284,0.723,0.004306925,1103.818206,0.776406173,0.609037671,0.682612448,0.726277147,0.721396185,0.723828438
GABORNN,17,0.715956187,0.004198409,0.731666667,0.00426222,1100.068454,0.774407951,0.615337908,0.685769366,0.758674927,0.687924478,0.721569567
GABORNN,18,0.720692718,0.004188911,0.734666667,0.004209204,1105.938771,0.775828929,0.622514146,0.690766796,0.824412555,0.600744236,0.695026812
GABORNN,19,0.720766726,0.004163408,0.744333333,0.004199476,1113.631538,0.784140239,0.614189046,0.688836815,0.790792137,0.663672008,0.721676925
GABORNN,20,0.733496152,0.004097594,0.739,0.00414712,1111.237669,0.797104389,0.629423229,0.70340877,0.801610144,0.631985285,0.706762599
GABORNN,21,0.732830077,0.00405884,0.731333333,0.004126427,1101.208682,0.791196764,0.635542868,0.704879081,0.770080569,0.654478968,0.70758929
GABORNN,22,0.735050326,0.004025127,0.732333333,0.004232059,1099.243991,0.800861757,0.631064416,0.70589583,0.762863465,0.673319655,0.7153001
GABORNN,23,0.741119005,0.003984919,0.738333333,0.004233461,1107.660407,0.806701049,0.640384511,0.713985228,0.767895983,0.677724761,0.719998138
GABORNN,24,0.748149793,0.003906251,0.732333333,0.004251689,1106.327894,0.809579028,0.652189353,0.722411059,0.798877318,0.615840681,0.695518333
GABORNN,25,0.749851983,0.003838713,0.739,0.004413153,1096.768778,0.807378265,0.658425491,0.7253337,0.756016663,0.695555006,0.724526644
GABORNN,26,0.758362937,0.003800564,0.733,0.004494139,1102.186642,0.819176231,0.667369556,0.735521613,0.772894701,0.660934724,0.712543539
GABORNN,27,0.763173475,0.003743232,0.733333333,0.004537997,1104.047087,0.826970218,0.66806561,0.739073075,0.793232648,0.624631872,0.698907952
GABORNN,28,0.764209591,0.003703682,0.727,0.004459866,1107.813323,0.822753845,0.675851363,0.742102463,0.771753567,0.647281666,0.704058536
GABORNN,29,0.769538188,0.003637017,0.739333333,0.004436563,1096.027378,0.822535916,0.688115347,0.749345135,0.832362231,0.599677048,0.697115691
GABORNN,30,0.771314387,0.003617913,0.731333333,0.004548882,1089.383334,0.832072605,0.683878704,0.750732205,0.794025312,0.622017517,0.697574456
CNN,1,0.5276791,0.005447928,0.539,0.005521372,1103.047402,0.554479903,0.39373672,0.460483592,0.645924295,0.170435192,0.269705279
CNN,2,0.558022499,0.005358728,0.566666667,0.005408125,1094.778392,0.596737394,0.371128972,0.457638665,0.727104944,0.218473544,0.335991557
CNN,3,0.574674364,0.005251777,0.595666667,0.005232594,1096.162931,0.625603796,0.401718221,0.489265176,0.648222563,0.41523661,0.506207942
CNN,4,0.590586146,0.0052079,0.611,0.005150067,1089.88368,0.643777931,0.432704466,0.51754787,0.683263041,0.413183727,0.514960102
CNN,5,0.593250444,0.005159062,0.603,0.005201805,1087.993666,0.655163823,0.408950198,0.503572681,0.698338791,0.369515788,0.48330028
CNN,6,0.592880403,0.005140695,0.618333333,0.00516931,1080.656275,0.656304224,0.403916727,0.500069827,0.723484545,0.382645038,0.500552152
CNN,7,0.610938425,0.005075662,0.629666667,0.005088142,1080.084296,0.691130696,0.40848048,0.513478591,0.698148873,0.453306272,0.549696207
CNN,8,0.62285376,0.005030117,0.643,0.00498683,1082.412292,0.702629386,0.43290969,0.53573686,0.744830334,0.434595953,0.548911369
CNN,9,0.628848431,0.004946168,0.650333333,0.005121405,1102.474793,0.704201473,0.448134794,0.547717174,0.718028876,0.492341718,0.584144347
CNN,10,0.632326821,0.004928445,0.658333333,0.004895103,1085.218985,0.712883016,0.450648505,0.552214804,0.753943019,0.462379415,0.573215987
CNN,11,0.646166371,0.004838135,0.658666667,0.004921096,1084.620718,0.726982448,0.474262876,0.574038924,0.722163864,0.502732506,0.592793412
CNN,12,0.650162818,0.004806398,0.678666667,0.004804308,1098.870133,0.732807447,0.476054658,0.577164918,0.744941428,0.548199014,0.631603719
CNN,13,0.661560095,0.004709908,0.691666667,0.004755518,1107.187255,0.746903368,0.493004453,0.593958164,0.727661533,0.608605413,0.662829758
CNN,14,0.662448194,0.004703351,0.691333333,0.004718064,1096.315757,0.747865797,0.494413197,0.595284508,0.736544317,0.592760369,0.656876163
CNN,15,0.673771462,0.004646224,0.701666667,0.004607498,1098.44522,0.76201477,0.510491438,0.611395077,0.773767992,0.569598202,0.656167855
CNN,16,0.67473357,0.004611807,0.677,0.004740685,1100.136094,0.767812594,0.506021734,0.610016313,0.753860344,0.525467929,0.619277229
CNN,17,0.683910598,0.004583652,0.695,0.004792321,1093.171643,0.778766674,0.516119925,0.620806482,0.709235395,0.657639172,0.682463467
CNN,18,0.678137951,0.004561193,0.698,0.004630626,1073.61755,0.773230747,0.51009629,0.614686863,0.776140656,0.563377371,0.652861811
CNN,19,0.687833037,0.004461544,0.679666667,0.0047791,1077.62059,0.774047701,0.533658976,0.631758652,0.741970042,0.557907198,0.636906955
CNN,20,0.695529899,0.004467891,0.708,0.00460261,1103.34146,0.785094325,0.54183903,0.641169726,0.755814771,0.620205909,0.681328114
CNN,21,0.695011841,0.004419061,0.702333333,0.004638117,1954.795008,0.782709754,0.540386362,0.639357446,0.792274902,0.550048446,0.649306413
CNN,22,0.700044405,0.00438391,0.66,0.004996453,1125.420519,0.792392785,0.544541719,0.645492996,0.709954666,0.535458905,0.610482425
CNN,23,0.70759325,0.004345585,0.701333333,0.004686158,1107.574325,0.797268152,0.55544248,0.654739586,0.767195385,0.579206467,0.66007712
CNN,24,0.712921847,0.004283593,0.707666667,0.004590365,1116.500888,0.806565071,0.561275178,0.661926646,0.774456858,0.583122164,0.665306331
CNN,25,0.719804618,0.004196903,0.702666667,0.004584019,1113.224349,0.806817458,0.581138642,0.675630593,0.791368712,0.554471837,0.652070803
CNN,26,0.719212552,0.004173717,0.717,0.004581457,1112.464581,0.818251504,0.564630128,0.668183654,0.773179823,0.608653443,0.681122061
CNN,27,0.726613381,0.004122416,0.713666667,0.004582475,1108.67707,0.819894318,0.582012878,0.680771242,0.769828116,0.609591158,0.680402865
CNN,28,0.731275903,0.004100651,0.714333333,0.004564013,1112.143498,0.820885348,0.591747677,0.68773275,0.798489422,0.573371034,0.667459585
CNN,29,0.737788632,0.004018465,0.704,0.004697508,1106.101036,0.831911677,0.597420401,0.695431125,0.759018251,0.598120762,0.669031795
CNN,30,0.744967436,0.00393779,0.717333333,0.004730177,1104.952389,0.826520947,0.621915393,0.70976692,0.778609751,0.605483835,0.68121928
GaborNN5Layer,1,0.53589402,0.006452661,0.586,0.005419816,1183.140026,0.526547398,0.534220165,0.530356032,0.594040919,0.546620093,0.56934479
GaborNN5Layer,2,0.58651569,0.00528093,0.627666667,0.005157076,1160.102438,0.590297148,0.598312073,0.594277587,0.611249497,0.693305778,0.649696975
GaborNN5Layer,3,0.611012433,0.005147127,0.650666667,0.00495073,1089.336236,0.618608119,0.61063592,0.614596168,0.698481264,0.533869146,0.605181112
GaborNN5Layer,4,0.62714624,0.004972665,0.657333333,0.004939821,1091.065654,0.650675984,0.576159889,0.611154941,0.71525162,0.521958504,0.603505675
GaborNN5Layer,5,0.637729426,0.004890622,0.677,0.004700761,1124.53004,0.675927933,0.549701547,0.606314774,0.698933449,0.623686509,0.659169492
GaborNN5Layer,6,0.652531083,0.004816496,0.677666667,0.004696562,1126.738545,0.69156113,0.56660312,0.622876853,0.688115417,0.662818851,0.675230292
GaborNN5Layer,7,0.662448194,0.004719674,0.697333333,0.004523315,1136.738103,0.709785634,0.566821305,0.630298343,0.777682165,0.55225285,0.645861922
GaborNN5Layer,8,0.673327413,0.004658002,0.723,0.004364605,1165.926642,0.733392586,0.555363586,0.632081607,0.796286794,0.592898095,0.679703511
GaborNN5Layer,9,0.685020722,0.004562302,0.717,0.004335463,1250.876924,0.751712378,0.559890602,0.641774534,0.827565184,0.543474363,0.65608678
GaborNN5Layer,10,0.691977501,0.004459622,0.709333333,0.004379534,1077.846221,0.764692648,0.560422124,0.646812921,0.847734418,0.507841084,0.635175783
GaborNN5Layer,11,0.707963292,0.004376853,0.729666667,0.004236542,1135.002847,0.779586914,0.585084125,0.668474547,0.840325514,0.565913122,0.676345
GaborNN5Layer,12,0.717214328,0.004285693,0.743,0.004102405,1116.324764,0.793744248,0.593642983,0.679263428,0.771064929,0.695549246,0.731362944
GaborNN5Layer,13,0.723357016,0.004240781,0.737,0.004173661,1206.508067,0.8045958,0.596885643,0.685348613,0.833742563,0.591485182,0.692024658
GaborNN5Layer,14,0.726317348,0.004208002,0.737666667,0.004158481,1181.416938,0.809486749,0.596192653,0.686657359,0.800816473,0.635421842,0.708595883
GaborNN5Layer,15,0.740526939,0.004033142,0.742666667,0.004160294,1202.135136,0.81797223,0.624518655,0.708273337,0.817257439,0.627645296,0.710010127
GaborNN5Layer,16,0.744079337,0.003971938,0.741333333,0.004175376,1058.91438,0.822176455,0.631110922,0.714083875,0.775554377,0.681579349,0.725536494
GaborNN5Layer,17,0.750148017,0.003932648,0.756,0.00404972,1042.228249,0.834442223,0.629517756,0.717637372,0.814044588,0.657499738,0.727445438
GaborNN5Layer,18,0.757104796,0.003776688,0.758666667,0.003985228,1183.463298,0.836104666,0.644907186,0.728164203,0.833700328,0.651144215,0.731199974
GaborNN5Layer,19,0.763543517,0.003733339,0.768,0.004091529,1131.424828,0.844323711,0.649929389,0.73448172,0.829280184,0.67385423,0.743531589
GaborNN5Layer,20,0.77508881,0.003632703,0.742333333,0.004405883,1178.278267,0.854592572,0.667713294,0.749682221,0.856266785,0.58025411,0.691743953
GaborNN5Layer,21,0.778863233,0.003595477,0.748,0.004256814,1092.424129,0.851239653,0.678788616,0.755295569,0.862740839,0.588505358,0.699712575
GaborNN5Layer,22,0.783081705,0.003460276,0.756333333,0.004154792,1094.303173,0.857469208,0.680932754,0.759071925,0.819068719,0.655251198,0.728058752
GaborNN5Layer,23,0.793368857,0.003358765,0.743,0.004320437,1092.135182,0.866867189,0.694823338,0.771368646,0.801490412,0.646303961,0.71558011
GaborNN5Layer,24,0.800103612,0.003269818,0.758666667,0.004597531,1093.19278,0.87212228,0.705214836,0.779837822,0.797675916,0.697528198,0.744248145
GaborNN5Layer,25,0.805950266,0.003207977,0.757333333,0.004688182,1097.357834,0.874729734,0.71776361,0.788510889,0.773855236,0.727730312,0.750084353
GaborNN5Layer,26,0.815127294,0.003116794,0.765333333,0.004491775,1126.882246,0.878640475,0.731729331,0.798483683,0.803539725,0.701255221,0.748921212
GaborNN5Layer,27,0.825488455,0.002952385,0.777666667,0.004598244,1141.437834,0.885191972,0.748594841,0.811183122,0.839244181,0.677183115,0.749553889
GaborNN5Layer,28,0.831261101,0.002850507,0.758333333,0.004696186,1115.214406,0.886115563,0.761218825,0.818932516,0.817258214,0.662795993,0.731967069
